source,relation,target
5ba2a3ba-1aa2-47d8-ad69-5beef7372b98,HAS_GROUP,ac
ac,HAS_CONTROL,ac-1
ac-1,HAS_PARAMETER,ac-1_prm_1
ac-1,HAS_PARAMETER,ac-01_odp.01
ac-1,HAS_PARAMETER,ac-01_odp.02
ac-1,HAS_PARAMETER,ac-01_odp.03
ac-1,HAS_PARAMETER,ac-01_odp.04
ac-1,HAS_PARAMETER,ac-01_odp.05
ac-1,HAS_PARAMETER,ac-01_odp.06
ac-1,HAS_PARAMETER,ac-01_odp.07
ac-1,HAS_PARAMETER,ac-01_odp.08
ac-1,HAS_PART,ac-1_smt
ac-1,HAS_PART,ac-1_gdn
ac-1,HAS_PART,ac-1_obj
ac-1,HAS_PART,ac-1_asm-examine
ac-1,HAS_PART,ac-1_asm-interview
ac,HAS_CONTROL,ac-2
ac-2,HAS_PARAMETER,ac-02_odp.01
ac-2,HAS_PARAMETER,ac-02_odp.02
ac-2,HAS_PARAMETER,ac-02_odp.03
ac-2,HAS_PARAMETER,ac-02_odp.04
ac-2,HAS_PARAMETER,ac-02_odp.05
ac-2,HAS_PARAMETER,ac-02_odp.06
ac-2,HAS_PARAMETER,ac-02_odp.07
ac-2,HAS_PARAMETER,ac-02_odp.08
ac-2,HAS_PARAMETER,ac-02_odp.09
ac-2,HAS_PARAMETER,ac-02_odp.10
ac-2,HAS_PART,ac-2_smt
ac-2,HAS_PART,ac-2_gdn
ac-2,HAS_PART,ac-2_obj
ac-2,HAS_PART,ac-2_asm-examine
ac-2,HAS_PART,ac-2_asm-interview
ac-2,HAS_PART,ac-2_asm-test
ac-2,HAS_ENHANCEMENT,ac-2.1
ac-2.1,HAS_PARAMETER,ac-02.01_odp
ac-2.1,HAS_PART,ac-2.1_smt
ac-2.1,HAS_PART,ac-2.1_gdn
ac-2.1,HAS_PART,ac-2.1_obj
ac-2.1,HAS_PART,ac-2.1_asm-examine
ac-2.1,HAS_PART,ac-2.1_asm-interview
ac-2.1,HAS_PART,ac-2.1_asm-test
ac-2,HAS_ENHANCEMENT,ac-2.2
ac-2.2,HAS_PARAMETER,ac-02.02_odp.01
ac-2.2,HAS_PARAMETER,ac-02.02_odp.02
ac-2.2,HAS_PART,ac-2.2_smt
ac-2.2,HAS_PART,ac-2.2_gdn
ac-2.2,HAS_PART,ac-2.2_obj
ac-2.2,HAS_PART,ac-2.2_asm-examine
ac-2.2,HAS_PART,ac-2.2_asm-interview
ac-2.2,HAS_PART,ac-2.2_asm-test
ac-2,HAS_ENHANCEMENT,ac-2.3
ac-2.3,HAS_PARAMETER,ac-02.03_odp.01
ac-2.3,HAS_PARAMETER,ac-02.03_odp.02
ac-2.3,HAS_PART,ac-2.3_smt
ac-2.3,HAS_PART,ac-2.3_gdn
ac-2.3,HAS_PART,ac-2.3_obj
ac-2.3,HAS_PART,ac-2.3_asm-examine
ac-2.3,HAS_PART,ac-2.3_asm-interview
ac-2.3,HAS_PART,ac-2.3_asm-test
ac-2,HAS_ENHANCEMENT,ac-2.4
ac-2.4,HAS_PART,ac-2.4_smt
ac-2.4,HAS_PART,ac-2.4_gdn
ac-2.4,HAS_PART,ac-2.4_obj
ac-2.4,HAS_PART,ac-2.4_asm-examine
ac-2.4,HAS_PART,ac-2.4_asm-interview
ac-2.4,HAS_PART,ac-2.4_asm-test
ac-2,HAS_ENHANCEMENT,ac-2.5
ac-2.5,HAS_PARAMETER,ac-02.05_odp
ac-2.5,HAS_PART,ac-2.5_smt
ac-2.5,HAS_PART,ac-2.5_gdn
ac-2.5,HAS_PART,ac-2.5_obj
ac-2.5,HAS_PART,ac-2.5_asm-examine
ac-2.5,HAS_PART,ac-2.5_asm-interview
ac-2,HAS_ENHANCEMENT,ac-2.6
ac-2.6,HAS_PARAMETER,ac-02.06_odp
ac-2.6,HAS_PART,ac-2.6_smt
ac-2.6,HAS_PART,ac-2.6_gdn
ac-2.6,HAS_PART,ac-2.6_obj
ac-2.6,HAS_PART,ac-2.6_asm-examine
ac-2.6,HAS_PART,ac-2.6_asm-interview
